iter,loss
1,50552.29480969137
2,50463.93058397229
3,50175.0306598675
4,49678.37703963603
5,49379.0893500341
6,49076.85756060284
7,48869.14608798217
8,48652.738777818595
9,48362.56847627694
10,47855.28292579896
11,47670.751713752325
12,47390.19717293133
13,47073.46274191787
14,46742.07812932237
15,46281.16506562633
16,46281.16506562633
17,46281.16506562633
18,5530.0275153299735
19,5512.291311907374
20,5491.263102316854
21,5444.894754284486
22,5424.998826949968
