iter,loss
1,45012.10009622321
2,44519.55330293922
3,44204.81134929134
4,43889.02809542754
5,43668.27156811733
6,43211.719051202075
7,42912.07051337221
8,42692.37726839334
9,42326.04213147262
10,42080.477715862304
11,41629.915455070164
12,41346.58210463431
13,40943.19349804228
14,40684.43630485894
15,40277.17744758656
16,40277.17744758656
17,40277.17744758656
18,16572.901795250633
19,10881.649048946572
20,5032.268493926976
21,2799.1435850399166
22,2459.603442374014
